Unidad geográfica,Unidad temporal,Valor,Nacionales,Extranjeras
Argentina,Año 2018,5491122493.000000,715591397.0000,4747562506.0000,
Argentina,Año 2017,4851382653.000000,565808627.0000,4263765241.0000,
Argentina,Año 2016,3958128877.000000,506052840.0000,3432426546.0000,
Argentina,Año 2015,3174043634.000000,413264790.0000,2746000926.0000,
Argentina,Año 2014,2017626251.000000,335341863.0000,1670182597.0000,
Argentina,Año 2013,1683374085.000000,243488605.0000,1425445950.0000,
Argentina,Año 2012,1297370776.000000,113641248.0000,1166108562.0000,
Argentina,Año 2011,959726477.000000,63379974.0000,884546715.0000,
Argentina,Año 2010,670725064.000000,56856945.0000,600272549.0000,
Argentina,Año 2009,461565642.000000,71937634.0000,381901575.0000,
Argentina,Año 2008,396568595.000000,44687385.0000,351881210.0000,
Argentina,Año 2007,331326425.000000,297983930.0000,2907743200.0000,
Argentina,Año 2006,287812782.000000,308224130.0000,2479192210.0000,
Argentina,Año 2005,254636636.000000,290994270.0000,2172674340.0000,
Argentina,Año 2004,271516457.000000,
Argentina,Año 2003,184003560.000000,
Argentina,Año 2002,156700317.000000,
Argentina,Año 2001,153572808.000000,
Argentina,Año 2000,164953455.000000,
Argentina,Año 1999,151699783.000000,
Argentina,Año 1998,146659802.000000,
Argentina,Año 1997,130486630.000000,
